subjectID,sessionType,session,sessionTime,trial,sleepScore,caffeineScore,alertnessScore,gazeDeviation,angular_velocity_gain
1,MA,1,M,1,1,4,5,1.65425167080648,0.8095920216659845
1,MA,1,M,2,1,4,5,3.13651552083176,0.7759993857265002
1,MA,2,A,1,1,3,4,2.463787924853893,0.988573147109024
1,MA,2,A,2,1,3,4,3.09009797982511,0.9314869480368019
2,MA,1,M,1,2,4,6,2.898290779446838,0.8543064457799103
2,MA,1,M,2,2,4,6,3.067684797586759,0.8598486834185289
2,MA,2,A,1,2,4,6,2.961034165880794,1.070488058560294
2,MA,2,A,2,2,4,6,2.994270779028513,0.7989008670992526
4,MA,1,M,1,-1,0,-1,1.672699213303209,1.002258166497942
4,MA,1,M,2,-1,0,-1,1.870470292468539,0.9661528667844121
4,MA,2,A,1,-1,1,0,2.062259611043615,0.8910269007690138
4,MA,2,A,2,-1,1,0,2.870665052111212,1.010372812193936
5,MA,1,M,1,1,0,1,1.933461688475304,0.9397357417567909
5,MA,1,M,2,1,0,1,2.864897332150913,0.8030139919722575
5,MA,2,A,1,1,0,1,2.171022787945615,0.811579570110783
5,MA,2,A,2,1,0,1,2.732408510962833,0.8615729795709036
6,MA,1,M,1,-1,4,3,1.785339813128289,0.945922957875753
6,MA,1,M,2,-1,4,3,2.394486585812823,1.117016840078812
6,MA,2,A,1,-1,3,2,2.142576432791432,0.932196811645191
6,MA,2,A,2,-1,3,2,2.833313692158134,0.8966404975657335
7,MA,1,M,1,1,4,5,3.145502179335276,1.110806539996602
7,MA,1,M,2,1,4,5,3.023171640042452,0.8940817771403131
7,MA,2,A,1,1,2,3,3.798451983220895,0.9892964698693613
7,MA,2,A,2,1,2,3,3.399356307156867,0.7949475502130061
9,MA,1,M,1,2,4,6,3.161871888185793,0.9443976677683382
9,MA,1,M,2,2,4,6,2.547097655765978,0.801952285870172
9,MA,2,A,1,2,2,4,2.181297063531066,0.9673119037620097
9,MA,2,A,2,2,2,4,1.952738040808794,0.8700467201948516
10,MA,1,M,1,1,3,4,2.186588131151235,0.9460131350081168
10,MA,1,M,2,1,3,4,2.71604809185399,0.8918069095585613
10,MA,2,A,1,1,3,4,1.909001719267321,0.8930179000398242
10,MA,2,A,2,1,3,4,3.058230875631758,0.9929423454988473
12,MA,1,M,1,-1,3,2,2.83455523629733,0.826604561568492
12,MA,1,M,2,-1,3,2,1.76270759868226,1.003390370760292
12,MA,2,A,1,-1,3,2,2.365861278367273,0.8970445427319558
12,MA,2,A,2,-1,3,2,2.978191358000045,0.7159487380254504
13,MA,1,M,1,1,0,1,3.288847456139659,0.8032332960775918
13,MA,1,M,2,1,0,1,3.056640833303312,0.8673714050492469
13,MA,2,A,1,1,2,3,2.557381572889849,0.9994864338788538
13,MA,2,A,2,1,2,3,3.284879990956248,0.9139946762294798
14,AM,1,A,1,1,0,1,2.033891626633694,0.8983027320480673
14,AM,1,A,2,1,0,1,2.243546605166973,0.7775166226913655
14,AM,2,M,1,1,0,1,2.084006187531243,0.962450777001046
14,AM,2,M,2,1,0,1,2.609825295932966,1.030006589180343
15,AM,1,A,1,1,0,1,2.327130267812798,1.014890259417329
15,AM,1,A,2,1,0,1,3.813785410910597,0.7450609067400029
16,AM,1,A,1,1,3,4,1.569638725186604,0.9063751172817247
16,AM,1,A,2,1,3,4,1.658404490609103,0.9920854196765211
16,AM,2,M,1,2,0,2,2.011997634414316,1.001550853052031
16,AM,2,M,2,2,0,2,2.752350601667208,0.7908829450993327
